id,name,analyst,current_url,final_url,status_code,verdict,why,rss_feeds,ical_feeds,jsonld_events,sec_cik,suggested_action
55556,ABN AMRO,Liviyan Raj Kovindasamy,https://www.abnamro.com/en/investor-relations/financial-calendar,https://www.abnamro.com/en/investor-relations/financial-calendar,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
1708,ADT,Rafael Alamo,https://investor.adt.com/News--Events/events-and-presentations/default.aspx,https://investor.adt.com/News--Events/events-and-presentations/default.aspx,200,calendar-page,calendar/results keywords present,0,0,0,0001703056,use-sec
2478,AECOM,Arturo Miquel,https://investors.aecom.com/events-and-presentations/upcoming-events,,0,fetch-error,timeout,0,0,0,0000868857,use-sec
55667,AES Andes,Anais Ruz,https://www.aesandes.com/en/upcoming-events,https://www.aesandes.com/en/upcoming-events,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
1180,AFE (AnaCap Financial Europe),Daire Vint,https://www.anacap.com/our-firm/,https://www.anacap.com/our-firm/,200,non-ir-page,no IR/calendar signals,1,0,0,,use-rss
55723,AIA Group,Kavithaasree Singaveloo,https://www.aia.com/en/investor-relations/overview/financial-calendar,https://www.aia.com/en/investor-relations/overview/financial-calendar,0,fetch-error,"TimeoutError: Page.goto: Timeout 20000ms exceeded.
Call log:
navigating to ""https://www.aia.co",0,0,0,,replace-url
964,AMC Entertainment,Matias Fauré,https://investor.amctheatres.com/events-and-presentations/event-calendar/default.aspx,https://investor.amctheatres.com/news-events/ir-calendar,200,calendar-page,calendar/results keywords present,1,0,0,0001411579,use-sec
2501,AMC Networks,Matias Fauré,https://investors.amcnetworks.com/events-and-presentations,https://investors.amcnetworks.com/events-and-presentations,403,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
1611,APCOA Parking,Michael Clark,https://www.apcoa.com/about-us/investors/,https://www.apcoa.com/about-us/investors/,200,ir-page-no-calendar,IR content but no calendar keywords,2,0,0,,use-rss
2633,AT&T,Ibrahim Dughman,https://investors.att.com/news-and-events/events-and-presentations,https://investors.att.com/news-and-events/events-and-presentations,200,calendar-page,calendar/results keywords present,0,0,0,0000732717,use-sec
65983,AVIC International,Sharusree Nandakumar,https://www.avicryo.com/news.html,https://www.avicryo.com/news.html,200,non-ir-page,no IR/calendar signals,0,0,0,,replace-url
55547,AbbVie,Mateo Castro,https://investors.abbvie.com/events-and-presentations/upcoming-events,,0,fetch-error,timeout,0,0,0,0001551152,use-sec
55546,Abbott Labs,Martina Pino,https://www.abbottinvestor.com/news-and-events/events,https://www.abbottinvestor.com/news-and-events/events,403,thin-body,only 236 chars of visible text,0,0,0,,js-render-required
55567,Abu Dhabi Commercial Bank,Umairah Huda Binti Mohamad Asri,https://www.adcb.com/en/about-us/investor-relations/financial-calendar/,https://www.adcb.com/en/about-us/investor-relations/financial-calendar/,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
55568,Abu Dhabi Developmental Holding Company,Jack Liew,https://www.adq.ae/investors,https://www.adq.ae/investors,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
55571,Abu Dhabi National Energy,Kavithaasree Singaveloo,https://www.taqa.com/announcements/?cat_id=133&csrt=1157673590154016641,https://www.taqa.com/announcements/?cat_id=133&csrt=1157673590154016641,200,non-ir-page,no IR/calendar signals,0,0,0,,replace-url
55572,Abu Dhabi National Oil,Kartigeiswary Deva Kumar,https://www.adnocdistribution.ae/investor-relations/results-and-presentation,https://www.adnocdistribution.ae/investor-relations/results-and-presentation,403,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
1758,Acadia Healthcare,Cata Rifo,https://www.acadiahealthcare.com/investors/event-calendar/,https://www.acadiahealthcare.com/investors/event-calendar/,200,ir-page-no-calendar,IR content but no calendar keywords,1,0,0,0001520697,use-sec
55585,Accolade,Shi Man Fong,https://accolade.eu/en/news,https://accolade.eu/en/news,200,non-ir-page,no IR/calendar signals,0,0,0,,replace-url
60560,Acelen,Clemente Masferrer,https://ri.acelen.com.br/en/investor-services/events-calendar/,https://ri.acelen.com.br/en/investor-services/events-calendar/,200,calendar-page,calendar/results keywords present,0,0,1,,use-jsonld
4966,Acqua & Sapone,Ross Murray,https://cesarspa.com/tipologia-documento/rassegna-stampa-it/,https://cesarspa.com/,200,redirected-to-home,redirected to homepage,0,0,0,,replace-url
2513,AdaptHealth,Gisela Pollanco,https://adapthealth.com/category/latest-earnings/,https://adapthealth.com/blogs/earnings,200,ir-page-no-calendar,IR content but no calendar keywords,1,0,0,0001725255,use-sec
55630,Adecoagro,Ibrahim Dughman,https://ir.adecoagro.com/events-calendar/,https://ir.adecoagro.com/events-calendar/,200,ir-page-no-calendar,IR content but no calendar keywords,2,1,0,0001499505,use-sec
9166,Adeia,Oscar Carrasco,https://investors.adeia.com/,,0,fetch-error,timeout,0,0,0,0001803696,use-sec
